dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
-0.00407	0.00242887	0.00121443	0.00210346	-0.00242887	4.29972e-09	0.00121443	-0.00210346
-0.00408	0.00241892	0.00120946	0.00209485	-0.00241892	4.28211e-09	0.00120945	-0.00209485
-0.00409	0.0024089	0.00120445	0.00208617	-0.0024089	4.26436e-09	0.00120444	-0.00208617
-0.0041	0.00239879	0.0011994	0.00207742	-0.00239879	4.24648e-09	0.00119939	-0.00207742
-0.00411	0.00238861	0.00119431	0.0020686	-0.00238861	4.22846e-09	0.0011943	-0.0020686
-0.00412	0.00237836	0.00118918	0.00205972	-0.00237836	4.2103e-09	0.00118917	-0.00205972
-0.00413	0.00236802	0.00118401	0.00205077	-0.00236802	4.192e-09	0.001184	-0.00205077
-0.00414	0.00235761	0.0011788	0.00204175	-0.00235761	4.17357e-09	0.0011788	-0.00204175
-0.00415	0.00234711	0.00117356	0.00203266	-0.00234711	4.15499e-09	0.00117355	-0.00203266
-0.00416	0.00233654	0.00116827	0.00202351	-0.00233654	4.13628e-09	0.00116826	-0.00202351
-0.00417	0.00232589	0.00116295	0.00201428	-0.00232589	4.11743e-09	0.00116294	-0.00201429
-0.00418	0.00231517	0.00115758	0.00200499	-0.00231517	4.09844e-09	0.00115758	-0.002005
-0.00419	0.00230436	0.00115218	0.00199564	-0.00230436	4.07931e-09	0.00115217	-0.00199564
-0.0042	0.00229348	0.00114674	0.00198621	-0.00229348	4.06005e-09	0.00114673	-0.00198622
-0.00421	0.00228252	0.00114126	0.00197672	-0.00228252	4.04065e-09	0.00114125	-0.00197673
-0.00422	0.00227148	0.00113574	0.00196716	-0.00227148	4.02111e-09	0.00113573	-0.00196717
-0.00423	0.00226037	0.00113018	0.00195753	-0.00226037	4.00143e-09	0.00113018	-0.00195754
-0.00424	0.00224917	0.00112459	0.00194784	-0.00224917	3.98161e-09	0.00112458	-0.00194784
-0.00425	0.0022379	0.00111895	0.00193808	-0.0022379	3.96166e-09	0.00111894	-0.00193808
