dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
-0.000611919	0.448384	0.224192	0.388312	-0.448384	7.93755e-07	0.224191	-0.388313
-0.000621919	0.449967	0.224983	0.389683	-0.449967	7.96557e-07	0.224982	-0.389683
-0.000631919	0.451544	0.225772	0.391048	-0.451544	7.99348e-07	0.225771	-0.391049
-0.000641919	0.453115	0.226558	0.392409	-0.453115	8.0213e-07	0.226556	-0.39241
-0.000651919	0.454682	0.227341	0.393766	-0.454682	8.04903e-07	0.227339	-0.393767
-0.000661919	0.456242	0.228121	0.395117	-0.456242	8.07666e-07	0.22812	-0.395118
-0.000671919	0.457798	0.228899	0.396465	-0.457798	8.1042e-07	0.228898	-0.396465
-0.000681919	0.459348	0.229674	0.397807	-0.459348	8.13164e-07	0.229673	-0.397808
-0.000691919	0.460893	0.230447	0.399145	-0.460893	8.15899e-07	0.230445	-0.399146
-0.000701919	0.462433	0.231217	0.400479	-0.462433	8.18625e-07	0.231215	-0.40048
-0.000711919	0.463968	0.231984	0.401808	-0.463968	8.21342e-07	0.231983	-0.401809
-0.000721919	0.465498	0.232749	0.403133	-0.465498	8.2405e-07	0.232747	-0.403134
-0.000731919	0.467023	0.233511	0.404453	-0.467023	8.2675e-07	0.23351	-0.404454
-0.000741919	0.468542	0.234271	0.40577	-0.468542	8.2944e-07	0.23427	-0.40577
-0.000751919	0.470057	0.235029	0.407082	-0.470057	8.32122e-07	0.235027	-0.407082
-0.000761919	0.471567	0.235784	0.408389	-0.471567	8.34795e-07	0.235782	-0.40839
-0.000771919	0.473073	0.236536	0.409693	-0.473073	8.3746e-07	0.236535	-0.409694
-0.000781919	0.474573	0.237287	0.410993	-0.474573	8.40116e-07	0.237285	-0.410993
-0.000791919	0.476069	0.238035	0.412288	-0.476069	8.42764e-07	0.238033	-0.412289
-0.000801919	0.47756	0.23878	0.413579	-0.47756	8.45404e-07	0.238779	-0.41358
-0.000811919	0.479047	0.239523	0.414867	-0.479047	8.48036e-07	0.239522	-0.414868
-0.000821919	0.480529	0.240264	0.41615	-0.480529	8.50659e-07	0.240263	-0.416151
-0.000831919	0.482006	0.241003	0.41743	-0.482006	8.53275e-07	0.241002	-0.417431
-0.000841919	0.483479	0.24174	0.418705	-0.483479	8.55882e-07	0.241738	-0.418706
-0.000851919	0.484948	0.242474	0.419977	-0.484948	8.58482e-07	0.242472	-0.419978
-0.000861919	0.486412	0.243206	0.421245	-0.486412	8.61074e-07	0.243204	-0.421246
-0.000871919	0.487871	0.243936	0.422509	-0.487871	8.63658e-07	0.243934	-0.42251
-0.000881919	0.489327	0.244663	0.423769	-0.489327	8.66234e-07	0.244662	-0.42377
-0.000891919	0.490778	0.245389	0.425026	-0.490778	8.68803e-07	0.245387	-0.425027
-0.000901919	0.492225	0.246112	0.426279	-0.492225	8.71364e-07	0.246111	-0.42628
-0.000911919	0.493667	0.246834	0.427528	-0.493667	8.73917e-07	0.246832	-0.427529
-0.000921919	0.495106	0.247553	0.428774	-0.495106	8.76464e-07	0.247551	-0.428775
-0.000931919	0.49654	0.24827	0.430016	-0.49654	8.79003e-07	0.248268	-0.430017
-0.000941919	0.49797	0.248985	0.431255	-0.49797	8.81534e-07	0.248983	-0.431255
-0.000951919	0.499396	0.249698	0.43249	-0.499396	8.84059e-07	0.249696	-0.43249
-0.000961919	0.500818	0.250409	0.433721	-0.500818	8.86576e-07	0.250407	-0.433722
-0.000971919	0.502236	0.251118	0.434949	-0.502236	8.89086e-07	0.251116	-0.43495
-0.000981919	0.50365	0.251825	0.436174	-0.50365	8.91589e-07	0.251823	-0.436174
-0.000991919	0.50506	0.25253	0.437395	-0.50506	8.94086e-07	0.252528	-0.437396
-0.00100192	0.506466	0.253233	0.438612	-0.506466	8.96575e-07	0.253231	-0.438613
-0.00101192	0.507868	0.253934	0.439827	-0.507868	8.99057e-07	0.253933	-0.439828
-0.00102192	0.509267	0.254633	0.441038	-0.509267	9.01533e-07	0.254632	-0.441039
-0.00103192	0.510661	0.255331	0.442246	-0.510661	9.04001e-07	0.255329	-0.442247
-0.00104192	0.512052	0.256026	0.44345	-0.512052	9.06464e-07	0.256024	-0.443451
-0.00105192	0.513439	0.25672	0.444651	-0.513439	9.08919e-07	0.256718	-0.444652
-0.00106192	0.514823	0.257411	0.445849	-0.514823	9.11368e-07	0.25741	-0.44585
-0.00107192	0.516202	0.258101	0.447044	-0.516202	9.1381e-07	0.258099	-0.447045
-0.00108192	0.517578	0.258789	0.448236	-0.517578	9.16246e-07	0.258787	-0.448237
-0.00109192	0.51895	0.259475	0.449424	-0.51895	9.18675e-07	0.259474	-0.449425
-0.00110192	0.520319	0.26016	0.45061	-0.520319	9.21098e-07	0.260158	-0.450611
-0.00111192	0.521684	0.260842	0.451792	-0.521684	9.23515e-07	0.260841	-0.451793
-0.00112192	0.523046	0.261523	0.452971	-0.523046	9.25925e-07	0.261521	-0.452972
-0.00113192	0.524404	0.262202	0.454147	-0.524404	9.2833e-07	0.2622	-0.454148
-0.00114192	0.525759	0.262879	0.45532	-0.525759	9.30728e-07	0.262878	-0.455321
-0.00115192	0.52711	0.263555	0.45649	-0.52711	9.33119e-07	0.263553	-0.456491
-0.00116192	0.528457	0.264229	0.457658	-0.528457	9.35505e-07	0.264227	-0.457658
-0.00117192	0.529802	0.264901	0.458822	-0.529802	9.37885e-07	0.264899	-0.458823
-0.00118192	0.531143	0.265571	0.459983	-0.531143	9.40259e-07	0.26557	-0.459984
-0.00119192	0.53248	0.26624	0.461141	-0.53248	9.42626e-07	0.266238	-0.461142
-0.00120192	0.533814	0.266907	0.462297	-0.533814	9.44988e-07	0.266905	-0.462298
-0.00121192	0.535145	0.267573	0.463449	-0.535145	9.47344e-07	0.267571	-0.46345
-0.00122192	0.536473	0.268236	0.464599	-0.536473	9.49694e-07	0.268235	-0.4646
-0.00123192	0.537797	0.268898	0.465746	-0.537797	9.52038e-07	0.268897	-0.465747
-0.00124192	0.539118	0.269559	0.46689	-0.539118	9.54377e-07	0.269557	-0.466891
-0.00125192	0.540436	0.270218	0.468031	-0.540436	9.5671e-07	0.270216	-0.468032
-0.00126192	0.54175	0.270875	0.46917	-0.54175	9.59037e-07	0.270874	-0.469171
-0.00127192	0.543062	0.271531	0.470305	-0.543062	9.61359e-07	0.271529	-0.470306
-0.00128192	0.54437	0.272185	0.471438	-0.54437	9.63675e-07	0.272183	-0.471439
-0.00129192	0.545675	0.272838	0.472569	-0.545675	9.65985e-07	0.272836	-0.47257
-0.00130192	0.546978	0.273489	0.473696	-0.546978	9.6829e-07	0.273487	-0.473697
-0.00131192	0.548277	0.274138	0.474821	-0.548277	9.7059e-07	0.274137	-0.474822
-0.00132192	0.549572	0.274786	0.475944	-0.549572	9.72884e-07	0.274785	-0.475945
-0.00133192	0.550865	0.275433	0.477063	-0.550865	9.75173e-07	0.275431	-0.477064
-0.00134192	0.552155	0.276078	0.47818	-0.552155	9.77456e-07	0.276076	-0.478181
-0.00135192	0.553442	0.276721	0.479295	-0.553442	9.79735e-07	0.276719	-0.479296
-0.00136192	0.554726	0.277363	0.480407	-0.554726	9.82007e-07	0.277361	-0.480408
-0.00137192	0.556007	0.278004	0.481516	-0.556007	9.84275e-07	0.278002	-0.481517
-0.00138192	0.557285	0.278643	0.482623	-0.557285	9.86538e-07	0.278641	-0.482624
-0.00139192	0.55856	0.27928	0.483727	-0.55856	9.88795e-07	0.279278	-0.483728
-0.00140192	0.559832	0.279916	0.484829	-0.559832	9.91047e-07	0.279914	-0.48483
-0.00141192	0.561102	0.280551	0.485928	-0.561102	9.93294e-07	0.280549	-0.485929
-0.00142192	0.562368	0.281184	0.487025	-0.562368	9.95536e-07	0.281182	-0.487026
